Tournament,Game,DateTime,Group/Stage,Stadium,City,HomeTeam,AwayTeam
Russia 2018,1, 14 Jun 2018 - 18:00,Group A,Luzhniki Stadium,Moscow,Russia,Saudi Arabia
Russia 2018,2, 15 Jun 2018 - 17:00,Group A,Ekaterinburg Arena,Ekaterinburg,Egypt,Uruguay
Russia 2018,3, 15 Jun 2018 - 18:00,Group B,Saint Petersburg Stadium,St. Petersburg,Morocco,IR Iran
Russia 2018,4, 15 Jun 2018 - 21:00,Group B,Fisht Stadium,Sochi,Portugal,Spain
Russia 2018,5, 16 Jun 2018 - 13:00,Group C,Kazan Arena,Kazan,France,Australia
Russia 2018,6, 16 Jun 2018 - 16:00,Group D,Spartak Stadium,Moscow,Argentina,Iceland
Russia 2018,7, 16 Jun 2018 - 19:00,Group C,Mordovia Arena,Saransk,Peru,Denmark
Russia 2018,8, 16 Jun 2018 - 21:00,Group D,Kaliningrad Stadium,Kaliningrad,Croatia,Nigeria
Russia 2018,9, 17 Jun 2018 - 16:00,Group E,Samara Arena,Samara,Costa Rica,Serbia
Russia 2018,10,17 Jun 2018 - 18:00,Group F,Luzhniki Stadium,Moscow,Germany,Mexico
Russia 2018,11,17 Jun 2018 - 21:00,Group E,Rostov Arena,Rostov-On-Don,Brazil,Switzerland
Russia 2018,12,18 Jun 2018 - 15:00,Group F,Nizhny Novgorod Stadium,Nizhny Novgorod,Sweden,Korea Republic
Russia 2018,13,18 Jun 2018 - 18:00,Group G,Fisht Stadium,Sochi,Belgium,Panama
Russia 2018,14,18 Jun 2018 - 21:00,Group G,Volgograd Arena,Volgograd,Tunisia,England
Russia 2018,15,19 Jun 2018 - 15:00,Group H,Mordovia Arena,Saransk,Colombia,Japan
Russia 2018,16,19 Jun 2018 - 18:00,Group H,Spartak Stadium,Moscow,Poland,Senegal
Russia 2018,17,19 Jun 2018 - 21:00,Group A,Saint Petersburg Stadium,St. Petersburg,Russia,Egypt
Russia 2018,18,20 Jun 2018 - 15:00,Group B,Luzhniki Stadium,Moscow,Portugal,Morocco
