Nr,Group,HomeTeam,AwayTeam,HomeScore,AwayScore,Wdl
1,Group A,Brazil,Croatia,4,1,W
2,Group A,Mexico,Cameroon,1,1,D
3,Group B,Spain,Netherlands,1,1,D
4,Group B,Chile,Australia,1,1,D
5,Group C,Colombia,Greece,1,1,D
6,Group D,Uruguay,Costa Rica,1,1,D
7,Group D,England,Italy,1,1,D
8,Group C,C�te d'Ivoire,Japan,1,1,D
9,Group E,Switzerland,Ecuador,1,1,D
10,Group E,France,Honduras,2,1,W
11,Group F,Argentina,Bosnia and Herzegovina,2,1,W
12,Group G,Germany,Portugal,2,1,W
13,Group F,IR Iran,Nigeria,1,1,D
14,Group G,Ghana,USA,1,1,D
15,Group H,Belgium,Algeria,1,1,D
16,Group A,Brazil,Mexico,4,1,W
17,Group H,Russia,Korea Republic,1,1,D
18,Group B,Australia,Netherlands,1,2,L
19,Group B,Spain,Chile,2,1,W
20,Group A,Cameroon,Croatia,1,1,D
21,Group C,Colombia,C�te d'Ivoire,1,1,D
22,Group D,Uruguay,England,1,1,D
23,Group C,Japan,Greece,1,1,D
24,Group D,Italy,Costa Rica,2,1,W
25,Group E,Switzerland,France,1,1,D
26,Group E,Honduras,Ecuador,1,1,D
27,Group F,Argentina,IR Iran,2,1,W
28,Group G,Germany,Ghana,2,1,W
29,Group F,Nigeria,Bosnia and Herzegovina,1,1,D
30,Group H,Belgium,Russia,1,1,D
31,Group H,Korea Republic,Algeria,1,1,D
32,Group G,USA,Portugal,1,1,D
33,Group B,Australia,Spain,1,2,L
34,Group B,Netherlands,Chile,2,1,W
35,Group A,Cameroon,Brazil,0,5,L
36,Group A,Croatia,Mexico,1,1,D
38,Group D,Costa Rica,England,1,1,D
37,Group D,Italy,Uruguay,1,1,D
39,Group C,Japan,Colombia,1,1,D
40,Group C,Greece,C�te d'Ivoire,1,1,D
41,Group F,Nigeria,Argentina,1,3,L
42,Group F,Bosnia and Herzegovina,IR Iran,1,1,D
43,Group E,Honduras,Switzerland,1,1,D
44,Group E,Ecuador,France,1,1,D
45,Group G,USA,Germany,1,2,L
46,Group G,Portugal,Ghana,1,1,D
48,Group H,Algeria,Russia,1,1,D
47,Group H,Korea Republic,Belgium,1,1,D
49,Round of 16,Brazil,Netherlands,3,1,W
50,Round of 16,Greece,Uruguay,1,1,L
53,Round of 16,France,IR Iran,1,1,W
54,Round of 16,Germany,Belgium,2,1,W
51,Round of 16,Spain,Croatia,2,1,W
52,Round of 16,Italy,Colombia,1,1,W
55,Round of 16,Argentina,Ecuador,2,1,W
56,Round of 16,Russia,Portugal,1,1,L
58,Quarter-finals,Brazil,Uruguay,3,1,W
57,Quarter-finals,France,Germany,1,2,L
60,Quarter-finals,Spain,Italy,2,1,W
59,Quarter-finals,Argentina,Portugal,2,1,W
61,Semi-finals,Brazil,Germany,2,1,W
62,Semi-finals,Spain,Argentina,1,1,L
63,Play-off for third place,Germany,Spain,0,0,W
64,Final,Brazil,Argentina,3,1,W
